county_fips,county_name,state,pop_2019
39001,Adams,OH,27776
39003,Allen,OH,103175
39005,Ashland,OH,53536
39007,Ashtabula,OH,97830
39009,Athens,OH,65917
39011,Auglaize,OH,45729
39013,Belmont,OH,68024
39015,Brown,OH,43572
39017,Butler,OH,380019
39019,Carroll,OH,27332
39021,Champaign,OH,38845
39023,Clark,OH,134726
39025,Clermont,OH,204275
39027,Clinton,OH,41957
39029,Columbiana,OH,103190
39031,Coshocton,OH,36585
39033,Crawford,OH,41821
39035,Cuyahoga,OH,1247451
39037,Darke,OH,51513
39039,Defiance,OH,38160
39041,Delaware,OH,201135
39043,Erie,OH,74780
39045,Fairfield,OH,154457
39047,Fayette,OH,28620
39049,Franklin,OH,1290360
39051,Fulton,OH,42253
39053,Gallia,OH,30088
39055,Geauga,OH,93843
39057,Greene,OH,166502
39059,Guernsey,OH,39111
39061,Hamilton,OH,813589
39063,Hancock,OH,75837
39065,Hardin,OH,31425
39067,Harrison,OH,15211
39069,Henry,OH,27208
39071,Highland,OH,43016
39073,Hocking,OH,28390
39075,Holmes,OH,43901
39077,Huron,OH,58339
39079,Jackson,OH,32450
39081,Jefferson,OH,66371
39083,Knox,OH,61481
39085,Lake,OH,229954
39087,Lawrence,OH,60184
39089,Licking,OH,173750
39091,Logan,OH,45316
39093,Lorain,OH,307670
39095,Lucas,OH,431102
39097,Madison,OH,44135
39099,Mahoning,OH,229961
39101,Marion,OH,65299
39103,Medina,OH,177980
39105,Meigs,OH,23078
39107,Mercer,OH,40884
39109,Miami,OH,105371
39111,Monroe,OH,13942
39113,Montgomery,OH,531670
39115,Morgan,OH,14640
39117,Morrow,OH,35043
39119,Muskingum,OH,86131
39121,Noble,OH,14416
39123,Ottawa,OH,40632
39125,Paulding,OH,18809
39127,Perry,OH,36022
39129,Pickaway,OH,57762
39131,Pike,OH,28000
39133,Portage,OH,162511
39135,Preble,OH,41093
39137,Putnam,OH,33911
39139,Richland,OH,121100
39141,Ross,OH,76948
39143,Sandusky,OH,59029
39145,Scioto,OH,76040
39147,Seneca,OH,55351
39149,Shelby,OH,48749
39151,Stark,OH,372404
39153,Summit,OH,541334
39155,Trumbull,OH,200367
39157,Tuscarawas,OH,92335
39159,Union,OH,56707
39161,Van Wert,OH,28261
39163,Vinton,OH,13083
39165,Warren,OH,229132
39167,Washington,OH,60426
39169,Wayne,OH,116099
39171,Williams,OH,36816
39173,Wood,OH,130150
39175,Wyandot,OH,22000
